"","h1n1_concern","h1n1_knowledge","behavioral_antiviral_meds","behavioral_avoidance","behavioral_face_mask","behavioral_wash_hands","behavioral_large_gatherings","behavioral_outside_home","behavioral_touch_face","doctor_recc_h1n1","chronic_med_condition","child_under_6_months","health_worker","opinion_h1n1_vacc_effective","opinion_h1n1_risk","opinion_h1n1_sick_from_vacc","age_group","education","race","sex","income_poverty","marital_status","rent_or_own","employment_status","census_msa","household_adults","household_children","h1n1_vaccine"
"5959",2,1,0,0,0,0,0,0,1,0,0,0,0,4,2,2,"35 - 44 Years","12 Years","White","Female","<= $75,000, Above Poverty","Married","Own","Employed","MSA, Not Principle  City",1,2,0
"5960",2,2,0,1,0,1,0,0,1,0,0,0,1,4,2,1,"35 - 44 Years","Some College","White","Female","<= $75,000, Above Poverty","Married","Own","Employed","MSA, Principle City",1,2,0
"5962",1,1,0,0,0,0,0,0,0,0,0,1,0,4,2,2,"18 - 34 Years","12 Years","White","Male","<= $75,000, Above Poverty","Married","Own","Employed","Non-MSA",1,0,0
"5963",2,1,0,1,0,1,0,0,1,0,0,0,0,3,1,4,"65+ Years","College Graduate","White","Male","> $75,000","Married","Own","Not in Labor Force","MSA, Not Principle  City",0,0,0
"5964",0,0,0,1,0,1,0,1,1,0,0,0,0,5,5,2,"18 - 34 Years","< 12 Years","Hispanic","Male","Below Poverty","Married","Rent","Unemployed","MSA, Principle City",0,0,0
"5965",1,1,0,1,0,1,0,0,0,0,0,0,0,3,2,5,"18 - 34 Years","Some College","White","Male","<= $75,000, Above Poverty","Married","Own","Employed","MSA, Principle City",1,2,1
"5966",3,1,0,1,0,1,0,1,1,1,1,0,0,5,4,5,"55 - 64 Years","12 Years","Hispanic","Female","Below Poverty","Married","Rent","Not in Labor Force","MSA, Not Principle  City",1,0,1
"5968",0,1,0,1,0,1,1,1,1,0,1,0,0,3,3,1,"65+ Years","Some College","White","Male","<= $75,000, Above Poverty","Married","Rent","Not in Labor Force","MSA, Not Principle  City",2,0,0
"5969",2,2,0,1,0,1,0,1,1,0,0,0,0,5,2,2,"65+ Years","Some College","White","Female","<= $75,000, Above Poverty","Married","Own","Not in Labor Force","Non-MSA",1,0,0
"5970",2,2,0,1,0,1,0,1,1,1,0,0,1,5,5,4,"55 - 64 Years","College Graduate","White","Male","> $75,000","Married","Own","Employed","MSA, Principle City",1,0,1
"5971",1,1,0,0,0,0,0,0,0,0,0,0,0,3,1,1,"18 - 34 Years","Some College","White","Male","<= $75,000, Above Poverty","Not Married","Own","Unemployed","MSA, Principle City",0,0,0
"5972",1,0,0,1,0,1,0,0,1,0,1,0,0,4,3,1,"65+ Years","Some College","White","Female","Below Poverty","Not Married","Own","Employed","MSA, Principle City",0,0,0
"5973",2,1,1,1,0,1,0,0,1,0,0,0,0,4,2,1,"18 - 34 Years","Some College","White","Female","> $75,000","Not Married","Own","Not in Labor Force","MSA, Not Principle  City",2,1,1
"5974",1,1,0,1,0,1,0,0,1,0,1,0,0,4,2,2,"35 - 44 Years","College Graduate","White","Female","> $75,000","Married","Own","Employed","MSA, Not Principle  City",1,2,0
"5983",1,0,0,0,0,1,0,0,1,1,0,0,0,5,2,1,"65+ Years","12 Years","White","Female","<= $75,000, Above Poverty","Not Married","Own","Employed","Non-MSA",0,0,0
"5984",3,2,0,0,0,1,1,0,1,0,0,0,0,5,4,2,"45 - 54 Years","College Graduate","White","Female","> $75,000","Married","Own","Employed","MSA, Not Principle  City",1,0,0
"5986",2,2,0,1,0,1,0,0,1,0,0,0,0,4,1,2,"65+ Years","College Graduate","White","Female","> $75,000","Married","Own","Not in Labor Force","MSA, Principle City",1,0,0
"5987",2,2,0,1,0,1,0,1,1,0,0,0,0,4,2,4,"35 - 44 Years","< 12 Years","White","Female","Below Poverty","Not Married","Rent","Not in Labor Force","Non-MSA",0,3,0
"5988",3,1,0,1,0,1,1,1,0,1,1,0,0,5,5,5,"35 - 44 Years","College Graduate","Black","Female","> $75,000","Married","Own","Unemployed","MSA, Not Principle  City",2,0,0
"5989",2,1,0,1,0,1,0,0,1,0,0,0,0,4,2,2,"45 - 54 Years","12 Years","White","Female","<= $75,000, Above Poverty","Married","Own","Employed","Non-MSA",0,0,0
"5990",0,0,0,0,0,1,1,1,0,0,0,0,0,3,5,2,"65+ Years","12 Years","White","Male","Below Poverty","Not Married","Own","Not in Labor Force","MSA, Principle City",0,0,0
"5992",2,2,0,0,0,1,0,0,1,0,0,0,0,5,4,5,"45 - 54 Years","College Graduate","White","Female","> $75,000","Married","Own","Employed","MSA, Not Principle  City",1,2,1
"5994",2,1,0,0,0,0,0,0,0,0,0,0,0,5,4,1,"18 - 34 Years","College Graduate","White","Male","> $75,000","Married","Own","Employed","MSA, Principle City",1,0,0
"5996",0,1,0,0,0,1,0,0,0,0,1,0,0,1,1,1,"65+ Years","College Graduate","White","Male","<= $75,000, Above Poverty","Not Married","Own","Not in Labor Force","MSA, Not Principle  City",0,0,0
"5998",0,1,0,0,0,1,0,0,0,0,0,0,0,3,1,5,"18 - 34 Years","Some College","Black","Female","> $75,000","Not Married","Own","Not in Labor Force","MSA, Not Principle  City",0,0,0
"5999",1,1,0,1,0,1,1,1,1,0,0,0,0,4,2,2,"65+ Years","< 12 Years","White","Male","<= $75,000, Above Poverty","Married","Own","Not in Labor Force","Non-MSA",1,0,0
"6000",2,1,0,1,0,1,1,1,1,0,0,0,0,4,2,4,"18 - 34 Years","Some College","Black","Female","<= $75,000, Above Poverty","Married","Rent","Employed","MSA, Not Principle  City",1,3,0
"6001",1,1,0,0,0,0,0,0,0,1,0,0,0,2,4,4,"35 - 44 Years","College Graduate","White","Female","> $75,000","Married","Own","Employed","MSA, Principle City",1,1,0
"6003",2,1,0,1,0,0,1,0,1,0,0,0,0,3,2,1,"45 - 54 Years","Some College","Black","Male","> $75,000","Married","Own","Employed","Non-MSA",1,0,0
"6004",0,1,0,0,0,1,0,0,1,1,0,0,0,4,2,1,"18 - 34 Years","College Graduate","White","Female","<= $75,000, Above Poverty","Married","Rent","Employed","MSA, Not Principle  City",1,0,0
"6008",1,1,0,1,0,1,0,0,0,0,0,0,0,3,4,1,"18 - 34 Years","Some College","White","Male","> $75,000","Not Married","Own","Employed","Non-MSA",2,0,0
"6010",1,1,0,1,0,1,1,0,1,0,0,0,0,4,4,4,"18 - 34 Years","12 Years","White","Male","<= $75,000, Above Poverty","Not Married","Own","Not in Labor Force","Non-MSA",2,0,0
"6011",2,1,0,1,0,0,1,1,1,0,1,0,0,4,4,4,"65+ Years","College Graduate","Other or Multiple","Female","<= $75,000, Above Poverty","Not Married","Rent","Not in Labor Force","Non-MSA",0,0,1
"6012",1,2,0,1,0,1,0,0,1,0,0,0,1,5,4,4,"35 - 44 Years","Some College","White","Female","<= $75,000, Above Poverty","Married","Own","Employed","Non-MSA",1,2,1
"6013",1,2,0,1,0,1,0,0,1,1,0,0,1,5,4,1,"45 - 54 Years","College Graduate","White","Male","> $75,000","Married","Own","Employed","MSA, Not Principle  City",1,0,1
"6015",0,1,0,0,0,1,0,0,0,0,1,0,0,5,3,1,"35 - 44 Years","Some College","White","Female","<= $75,000, Above Poverty","Not Married","Own","Employed","MSA, Not Principle  City",1,0,0
"6016",3,0,0,1,0,1,1,0,1,0,0,0,0,1,1,1,"18 - 34 Years","12 Years","Black","Female","Below Poverty","Married","Rent","Not in Labor Force","MSA, Not Principle  City",1,2,0
"6017",2,2,0,0,0,0,0,0,1,0,0,0,0,4,2,2,"65+ Years","12 Years","White","Female","<= $75,000, Above Poverty","Married","Own","Not in Labor Force","Non-MSA",1,0,0
"6019",2,2,0,1,0,0,0,0,1,1,0,0,0,4,2,1,"35 - 44 Years","Some College","White","Male","<= $75,000, Above Poverty","Married","Rent","Employed","MSA, Not Principle  City",1,2,1
"6020",1,1,0,1,1,1,1,1,1,0,1,0,0,4,2,2,"65+ Years","College Graduate","White","Male","Below Poverty","Married","Own","Not in Labor Force","Non-MSA",1,0,0
"6022",0,0,0,0,0,0,0,0,0,0,0,1,0,3,1,1,"35 - 44 Years","Some College","White","Male","> $75,000","Married","Own","Employed","MSA, Not Principle  City",1,1,0
"6023",1,2,0,1,0,1,0,0,1,0,0,0,0,2,2,2,"45 - 54 Years","College Graduate","White","Male","> $75,000","Married","Own","Employed","MSA, Principle City",1,0,0
"6024",2,1,0,1,0,1,0,0,1,0,0,0,0,4,2,2,"35 - 44 Years","Some College","Black","Female","<= $75,000, Above Poverty","Not Married","Rent","Employed","MSA, Principle City",0,2,0
"6026",0,1,0,0,0,1,0,0,1,0,1,0,0,2,1,1,"55 - 64 Years","12 Years","White","Male","<= $75,000, Above Poverty","Not Married","Own","Not in Labor Force","MSA, Not Principle  City",0,0,0
"6027",2,1,0,1,0,1,0,1,1,0,0,0,0,5,2,4,"55 - 64 Years","12 Years","White","Male","> $75,000","Married","Own","Employed","MSA, Not Principle  City",1,0,0
"6028",0,1,0,0,0,0,0,0,1,0,0,0,0,4,1,1,"18 - 34 Years","College Graduate","White","Male","<= $75,000, Above Poverty","Not Married","Own","Employed","MSA, Principle City",1,0,0
"6029",2,2,0,1,0,1,1,0,1,0,0,0,0,3,4,4,"18 - 34 Years","College Graduate","White","Male","> $75,000","Married","Own","Employed","Non-MSA",1,1,0
"6030",1,1,0,1,0,1,0,0,1,0,0,0,0,4,2,2,"18 - 34 Years","College Graduate","White","Female","<= $75,000, Above Poverty","Not Married","Rent","Employed","MSA, Not Principle  City",0,0,0
"6031",1,1,0,1,0,1,0,0,1,0,1,0,0,5,2,4,"55 - 64 Years","College Graduate","White","Female","<= $75,000, Above Poverty","Married","Own","Not in Labor Force","MSA, Not Principle  City",2,2,0
"6032",1,1,0,0,0,0,0,0,0,0,0,0,0,4,2,2,"55 - 64 Years","Some College","White","Male","<= $75,000, Above Poverty","Not Married","Own","Employed","Non-MSA",0,0,0
"6033",2,2,1,1,1,1,1,1,1,1,1,0,0,3,4,5,"18 - 34 Years","Some College","White","Female","Below Poverty","Married","Own","Unemployed","MSA, Not Principle  City",1,3,0
"6035",2,2,0,1,0,1,0,0,1,0,1,1,0,5,4,4,"45 - 54 Years","Some College","White","Male","<= $75,000, Above Poverty","Married","Own","Unemployed","MSA, Not Principle  City",2,0,0
"6036",1,1,0,0,0,0,0,0,0,0,0,0,0,3,2,2,"18 - 34 Years","College Graduate","White","Male","> $75,000","Married","Own","Employed","MSA, Not Principle  City",1,3,0
"6037",2,1,0,1,0,1,1,1,1,0,0,0,0,4,2,4,"45 - 54 Years","12 Years","White","Female","> $75,000","Married","Own","Employed","MSA, Principle City",1,0,0
"6039",3,1,0,1,0,1,1,0,1,0,0,1,1,4,2,4,"18 - 34 Years","Some College","White","Female","<= $75,000, Above Poverty","Married","Own","Employed","MSA, Not Principle  City",1,1,0
"6040",0,0,0,0,0,0,0,0,0,0,0,0,0,4,1,1,"55 - 64 Years","Some College","White","Male","<= $75,000, Above Poverty","Married","Own","Employed","Non-MSA",1,0,0
"6042",2,1,0,1,0,1,1,1,1,0,0,0,0,4,2,4,"35 - 44 Years","College Graduate","White","Male","<= $75,000, Above Poverty","Not Married","Own","Employed","MSA, Principle City",0,0,0
"6043",2,1,0,1,0,1,0,0,1,0,0,0,0,5,4,2,"45 - 54 Years","College Graduate","White","Female","> $75,000","Married","Own","Employed","MSA, Not Principle  City",1,1,1
"6045",1,2,0,1,0,1,0,1,1,0,0,0,0,5,2,2,"45 - 54 Years","College Graduate","White","Female","> $75,000","Married","Own","Employed","Non-MSA",2,0,0
"6046",1,1,0,1,0,1,0,0,1,0,0,0,0,2,1,1,"65+ Years","College Graduate","White","Female","Below Poverty","Not Married","Own","Not in Labor Force","Non-MSA",0,0,0
"6047",2,1,0,1,0,1,1,1,1,0,1,0,0,4,4,1,"65+ Years","12 Years","White","Female","<= $75,000, Above Poverty","Not Married","Own","Not in Labor Force","Non-MSA",0,0,1
"6048",2,2,0,1,0,1,1,0,0,0,1,0,0,5,2,2,"65+ Years","College Graduate","White","Male","> $75,000","Married","Own","Not in Labor Force","Non-MSA",1,0,1
"6051",1,2,0,0,0,1,0,0,1,0,0,0,1,2,1,1,"55 - 64 Years","College Graduate","White","Male","<= $75,000, Above Poverty","Married","Own","Employed","MSA, Principle City",1,0,0
"6052",0,2,0,1,0,1,1,0,1,1,1,0,1,3,1,1,"65+ Years","Some College","White","Female","<= $75,000, Above Poverty","Not Married","Own","Employed","Non-MSA",0,0,0
"6053",2,2,0,1,1,1,0,0,1,0,0,0,0,5,5,2,"35 - 44 Years","College Graduate","White","Male","> $75,000","Married","Own","Employed","MSA, Not Principle  City",1,0,0
"6054",3,0,0,0,0,1,1,0,1,0,0,0,0,3,1,1,"55 - 64 Years","< 12 Years","White","Male","Below Poverty","Not Married","Own","Not in Labor Force","MSA, Principle City",0,0,0
"6056",1,1,0,0,0,1,0,0,0,0,0,0,0,4,3,1,"55 - 64 Years","Some College","White","Male","> $75,000","Married","Own","Employed","Non-MSA",1,0,1
"6057",1,2,0,1,0,1,0,0,1,0,1,0,0,4,2,2,"45 - 54 Years","Some College","White","Male","<= $75,000, Above Poverty","Not Married","Own","Unemployed","Non-MSA",0,0,0
"6058",1,2,0,1,0,1,0,0,1,0,0,0,1,4,2,2,"45 - 54 Years","College Graduate","White","Female","> $75,000","Married","Own","Employed","MSA, Not Principle  City",1,0,1
"6059",1,2,0,1,0,1,1,0,1,1,0,0,1,3,3,2,"45 - 54 Years","College Graduate","White","Male","> $75,000","Not Married","Rent","Employed","MSA, Not Principle  City",0,0,0
"6060",0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,"45 - 54 Years","< 12 Years","Black","Female","Below Poverty","Not Married","Rent","Not in Labor Force","MSA, Principle City",1,2,0
"6061",2,1,0,0,0,1,0,0,1,1,1,0,0,5,4,1,"55 - 64 Years","Some College","White","Female","<= $75,000, Above Poverty","Married","Own","Employed","MSA, Not Principle  City",2,0,1
"6063",2,1,0,0,0,1,1,1,1,0,0,0,0,5,1,2,"65+ Years","< 12 Years","White","Female","<= $75,000, Above Poverty","Married","Own","Not in Labor Force","Non-MSA",1,0,0
"6064",2,2,0,1,0,1,0,0,1,0,0,0,1,4,2,2,"55 - 64 Years","College Graduate","White","Male","> $75,000","Married","Own","Employed","Non-MSA",1,1,0
"6066",3,2,1,1,1,1,0,1,1,0,1,0,0,5,1,2,"55 - 64 Years","Some College","White","Female","<= $75,000, Above Poverty","Married","Own","Not in Labor Force","MSA, Principle City",1,1,0
"6067",3,1,0,1,0,1,0,0,1,0,0,0,0,3,1,5,"65+ Years","12 Years","White","Female","<= $75,000, Above Poverty","Not Married","Own","Employed","Non-MSA",0,0,0
"6068",0,1,0,0,0,0,0,0,0,0,1,0,0,3,1,1,"45 - 54 Years","College Graduate","White","Male","<= $75,000, Above Poverty","Married","Own","Employed","MSA, Not Principle  City",1,0,0
"6069",3,1,0,1,0,1,0,0,1,1,1,0,1,5,4,5,"65+ Years","Some College","White","Male","<= $75,000, Above Poverty","Not Married","Own","Employed","MSA, Principle City",0,0,1
"6070",2,2,0,1,0,1,0,0,1,0,0,0,1,5,2,1,"55 - 64 Years","College Graduate","White","Female","> $75,000","Married","Own","Employed","MSA, Not Principle  City",1,0,0
"6071",1,2,0,1,0,1,0,0,1,1,0,1,1,5,2,1,"45 - 54 Years","College Graduate","White","Female","> $75,000","Married","Own","Employed","MSA, Not Principle  City",1,2,1
"6073",0,1,0,0,0,1,0,0,0,0,1,0,0,3,1,1,"65+ Years","College Graduate","White","Male","> $75,000","Married","Own","Employed","MSA, Principle City",1,0,0
"6074",1,1,0,1,0,0,1,0,0,0,0,0,0,5,2,4,"65+ Years","College Graduate","White","Male","> $75,000","Married","Own","Not in Labor Force","MSA, Not Principle  City",1,0,1
"6076",1,1,0,0,0,1,0,0,1,0,0,0,0,4,2,2,"45 - 54 Years","Some College","White","Female","> $75,000","Married","Own","Employed","MSA, Not Principle  City",1,2,0
"6079",1,2,0,1,0,1,0,0,1,0,0,0,0,4,2,2,"45 - 54 Years","College Graduate","White","Male","> $75,000","Married","Own","Employed","MSA, Not Principle  City",1,1,0
"6080",3,1,0,1,0,0,0,0,1,1,1,0,0,4,4,5,"18 - 34 Years","< 12 Years","White","Male","Below Poverty","Not Married","Rent","Unemployed","Non-MSA",1,2,1
"6082",2,1,0,1,0,1,0,1,1,0,0,0,0,3,2,1,"35 - 44 Years","Some College","Other or Multiple","Male","<= $75,000, Above Poverty","Married","Own","Employed","MSA, Principle City",1,2,0
"6083",1,2,0,1,0,1,0,1,1,0,0,0,0,4,2,2,"65+ Years","Some College","White","Female","<= $75,000, Above Poverty","Married","Rent","Not in Labor Force","MSA, Principle City",1,0,0
"6084",1,1,0,1,0,1,1,0,1,1,0,0,0,4,5,1,"35 - 44 Years","College Graduate","White","Male","> $75,000","Married","Own","Employed","MSA, Not Principle  City",1,3,1
"6086",0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,"35 - 44 Years","12 Years","White","Male","<= $75,000, Above Poverty","Married","Own","Employed","MSA, Not Principle  City",1,0,0
"6088",1,2,0,0,0,1,0,0,0,0,1,0,0,4,1,1,"18 - 34 Years","< 12 Years","White","Male","<= $75,000, Above Poverty","Not Married","Own","Not in Labor Force","MSA, Not Principle  City",2,1,0
"6089",3,1,0,1,0,1,0,0,1,0,0,0,1,5,4,4,"55 - 64 Years","College Graduate","White","Female","> $75,000","Not Married","Own","Employed","MSA, Not Principle  City",0,0,1
"6090",3,2,0,1,0,1,0,0,1,0,0,0,0,2,4,2,"35 - 44 Years","College Graduate","White","Female","> $75,000","Married","Own","Employed","MSA, Not Principle  City",1,3,0
"6091",2,1,0,1,0,1,1,1,0,1,1,0,0,5,4,4,"55 - 64 Years","Some College","White","Female","<= $75,000, Above Poverty","Married","Own","Not in Labor Force","MSA, Not Principle  City",1,0,0
"6092",1,1,0,0,0,0,0,0,0,0,0,0,0,4,1,1,"65+ Years","< 12 Years","White","Male","Below Poverty","Not Married","Own","Not in Labor Force","MSA, Not Principle  City",0,0,0
"6095",1,0,0,1,0,1,1,1,1,0,0,0,0,5,1,1,"65+ Years","12 Years","White","Female","<= $75,000, Above Poverty","Not Married","Own","Not in Labor Force","MSA, Not Principle  City",0,0,0
"6096",0,1,0,0,0,1,0,0,0,0,0,1,0,4,1,1,"55 - 64 Years","College Graduate","White","Male","> $75,000","Married","Own","Not in Labor Force","MSA, Not Principle  City",1,0,0
"6097",2,2,0,1,0,1,0,0,1,0,0,0,0,5,4,4,"55 - 64 Years","College Graduate","White","Male","> $75,000","Married","Own","Employed","Non-MSA",1,0,1
"6099",3,2,0,1,0,1,1,1,1,0,1,0,0,4,4,5,"65+ Years","Some College","White","Male","<= $75,000, Above Poverty","Married","Rent","Not in Labor Force","Non-MSA",1,0,0
"6100",2,2,0,0,0,1,0,0,0,0,0,0,0,4,4,4,"35 - 44 Years","College Graduate","White","Male","<= $75,000, Above Poverty","Not Married","Rent","Not in Labor Force","MSA, Not Principle  City",1,0,0
"6102",3,1,0,1,0,1,0,0,0,1,1,0,0,3,4,4,"35 - 44 Years","College Graduate","White","Female","> $75,000","Married","Own","Not in Labor Force","MSA, Not Principle  City",1,2,0
"6104",2,2,1,1,0,1,1,1,1,1,0,0,1,5,1,2,"45 - 54 Years","12 Years","White","Female","<= $75,000, Above Poverty","Married","Own","Employed","Non-MSA",0,0,1
"6105",3,1,0,0,1,1,1,1,1,0,0,0,0,4,4,2,"18 - 34 Years","College Graduate","Black","Male","<= $75,000, Above Poverty","Not Married","Rent","Unemployed","MSA, Principle City",1,1,0
"6107",2,2,0,1,0,1,0,0,0,0,0,0,0,4,2,2,"35 - 44 Years","College Graduate","White","Female","<= $75,000, Above Poverty","Married","Own","Employed","MSA, Not Principle  City",1,2,0
"6110",2,1,0,1,0,1,0,0,0,1,1,0,0,4,2,2,"55 - 64 Years","College Graduate","White","Male","> $75,000","Married","Own","Employed","MSA, Not Principle  City",1,0,0
"6111",3,2,0,1,1,1,1,1,0,0,1,0,0,5,4,4,"65+ Years","College Graduate","White","Male","<= $75,000, Above Poverty","Married","Own","Not in Labor Force","Non-MSA",1,0,0
"6112",0,1,0,0,0,0,0,0,0,1,1,0,1,4,1,4,"45 - 54 Years","12 Years","Hispanic","Male","> $75,000","Married","Own","Employed","MSA, Principle City",1,0,0
"6113",2,2,0,1,0,1,0,0,1,0,0,0,0,5,2,1,"55 - 64 Years","College Graduate","White","Male","<= $75,000, Above Poverty","Married","Own","Not in Labor Force","MSA, Principle City",1,0,0
"6115",2,2,0,1,1,1,0,0,1,0,1,0,1,5,1,4,"35 - 44 Years","College Graduate","White","Female","<= $75,000, Above Poverty","Not Married","Own","Employed","MSA, Not Principle  City",0,0,0
"6116",2,1,0,0,0,0,0,1,0,1,1,0,0,4,4,2,"35 - 44 Years","12 Years","White","Male","<= $75,000, Above Poverty","Not Married","Own","Employed","MSA, Not Principle  City",0,0,1
"6117",1,1,0,1,0,0,1,0,0,0,1,0,0,4,2,1,"18 - 34 Years","12 Years","Other or Multiple","Male","> $75,000","Not Married","Own","Employed","MSA, Not Principle  City",2,0,0
"6118",1,1,0,1,0,1,0,0,1,0,0,0,0,4,2,4,"45 - 54 Years","Some College","White","Female","> $75,000","Not Married","Own","Employed","MSA, Not Principle  City",1,0,0
"6120",1,1,0,0,0,1,0,0,0,0,0,0,0,5,2,2,"18 - 34 Years","College Graduate","White","Male","> $75,000","Married","Own","Employed","MSA, Not Principle  City",1,2,0
"6121",1,2,0,1,0,1,0,0,1,0,1,0,1,4,2,2,"35 - 44 Years","College Graduate","White","Female","> $75,000","Married","Own","Employed","MSA, Not Principle  City",1,2,1
"6122",2,1,0,1,0,1,1,1,1,1,1,0,0,3,2,4,"65+ Years","Some College","White","Female","<= $75,000, Above Poverty","Not Married","Own","Not in Labor Force","MSA, Principle City",0,0,0
"6123",1,1,0,1,0,1,0,0,0,0,0,0,0,4,2,1,"18 - 34 Years","College Graduate","White","Male","Below Poverty","Not Married","Rent","Not in Labor Force","Non-MSA",3,0,0
"6124",1,2,0,1,0,1,1,0,0,1,0,0,0,4,1,1,"55 - 64 Years","College Graduate","White","Male","> $75,000","Married","Own","Not in Labor Force","Non-MSA",1,0,1
"6125",1,1,0,1,0,1,1,1,1,0,0,0,0,1,1,4,"45 - 54 Years","College Graduate","White","Female","> $75,000","Married","Own","Not in Labor Force","MSA, Not Principle  City",1,0,0
"6126",2,1,0,1,0,1,1,0,1,0,0,0,0,3,2,2,"35 - 44 Years","College Graduate","Hispanic","Female","> $75,000","Married","Own","Employed","MSA, Not Principle  City",2,0,0
"6127",3,1,0,1,0,1,0,0,1,0,0,0,0,5,4,4,"18 - 34 Years","Some College","White","Female","> $75,000","Not Married","Rent","Not in Labor Force","Non-MSA",1,0,0
"6128",1,1,0,1,0,1,1,1,1,0,0,0,0,4,1,1,"65+ Years","Some College","White","Female","<= $75,000, Above Poverty","Not Married","Own","Employed","MSA, Principle City",2,0,0
"6130",2,1,0,1,0,1,0,1,1,0,0,0,1,4,2,2,"18 - 34 Years","< 12 Years","White","Female","<= $75,000, Above Poverty","Married","Own","Employed","MSA, Not Principle  City",1,3,0
"6131",2,1,0,1,0,1,1,1,1,0,1,0,0,4,4,1,"45 - 54 Years","Some College","White","Female","Below Poverty","Not Married","Rent","Not in Labor Force","MSA, Principle City",0,2,1
"6133",3,2,0,1,0,1,0,0,1,0,0,0,0,4,4,1,"35 - 44 Years","College Graduate","White","Female","> $75,000","Married","Own","Employed","MSA, Not Principle  City",1,3,0
"6135",1,1,0,1,0,1,0,0,1,0,0,0,0,3,1,2,"45 - 54 Years","Some College","White","Male","<= $75,000, Above Poverty","Not Married","Own","Employed","MSA, Principle City",1,0,0
"6136",0,2,0,0,0,0,0,0,0,0,0,0,0,1,1,1,"35 - 44 Years","Some College","White","Female","<= $75,000, Above Poverty","Not Married","Own","Employed","MSA, Principle City",1,0,0
"6137",2,2,0,1,0,1,0,0,1,1,0,1,1,5,2,5,"45 - 54 Years","College Graduate","White","Female","> $75,000","Married","Own","Employed","MSA, Not Principle  City",1,0,0
"6138",2,1,0,1,0,1,0,0,1,0,1,0,0,4,4,4,"55 - 64 Years","< 12 Years","White","Female","Below Poverty","Not Married","Own","Not in Labor Force","MSA, Not Principle  City",0,0,0
"6139",1,1,0,0,0,1,0,0,1,0,0,0,0,5,2,2,"35 - 44 Years","College Graduate","White","Female","<= $75,000, Above Poverty","Married","Own","Employed","MSA, Not Principle  City",1,3,0
"6140",0,1,0,0,0,0,0,0,0,0,0,0,0,2,1,1,"65+ Years","College Graduate","White","Male","<= $75,000, Above Poverty","Not Married","Own","Not in Labor Force","MSA, Principle City",0,0,0
"6143",2,1,0,1,0,1,1,1,1,1,1,0,0,4,2,4,"55 - 64 Years","College Graduate","White","Female","<= $75,000, Above Poverty","Married","Own","Not in Labor Force","MSA, Principle City",1,0,1
"6145",3,2,0,1,1,1,0,0,1,0,0,0,0,3,1,2,"45 - 54 Years","Some College","White","Female","<= $75,000, Above Poverty","Not Married","Own","Not in Labor Force","MSA, Principle City",1,1,0
"6147",1,0,0,1,0,1,0,0,0,0,0,0,0,4,1,1,"55 - 64 Years","12 Years","White","Female","<= $75,000, Above Poverty","Married","Own","Not in Labor Force","MSA, Not Principle  City",1,0,0
"6150",1,1,0,1,0,1,1,1,1,0,1,0,0,5,2,2,"65+ Years","12 Years","White","Male","<= $75,000, Above Poverty","Not Married","Rent","Not in Labor Force","Non-MSA",0,0,0
"6151",1,1,0,1,0,1,0,0,1,0,0,0,0,4,4,2,"55 - 64 Years","12 Years","White","Female","<= $75,000, Above Poverty","Married","Own","Not in Labor Force","Non-MSA",1,0,0
"6152",1,1,0,0,0,0,0,0,0,0,0,0,0,4,2,4,"35 - 44 Years","College Graduate","White","Female","<= $75,000, Above Poverty","Married","Own","Not in Labor Force","MSA, Principle City",1,3,0
"6153",1,1,0,1,0,1,1,1,1,1,0,0,0,5,4,4,"65+ Years","12 Years","White","Female","<= $75,000, Above Poverty","Married","Own","Not in Labor Force","MSA, Not Principle  City",1,0,1
"6154",2,1,0,1,0,1,0,0,1,1,0,0,0,4,4,4,"18 - 34 Years","12 Years","Hispanic","Female","Below Poverty","Not Married","Rent","Employed","Non-MSA",0,2,0
"6156",1,1,0,1,0,1,0,1,1,0,0,0,1,5,2,2,"45 - 54 Years","College Graduate","White","Female","<= $75,000, Above Poverty","Not Married","Own","Employed","Non-MSA",0,1,0
"6157",1,2,0,1,0,1,0,0,1,1,0,0,0,5,4,2,"35 - 44 Years","College Graduate","White","Female","> $75,000","Married","Own","Not in Labor Force","MSA, Principle City",1,2,1
"6158",2,1,0,1,0,1,1,0,1,0,0,0,0,5,2,1,"45 - 54 Years","College Graduate","White","Female","> $75,000","Married","Own","Employed","MSA, Not Principle  City",1,0,0
"6159",0,0,0,0,0,1,1,0,1,0,0,0,0,5,1,1,"35 - 44 Years","< 12 Years","White","Female","Below Poverty","Not Married","Rent","Not in Labor Force","Non-MSA",0,0,0
"6160",2,0,0,1,0,1,1,1,0,0,0,0,0,3,1,4,"65+ Years","12 Years","White","Male","<= $75,000, Above Poverty","Married","Own","Not in Labor Force","Non-MSA",1,0,0
"6161",0,1,0,0,0,0,0,0,0,0,0,0,0,3,3,1,"45 - 54 Years","College Graduate","White","Female","> $75,000","Married","Own","Employed","MSA, Principle City",1,0,0
"6162",3,1,0,1,0,1,0,0,1,0,1,0,0,4,1,1,"18 - 34 Years","12 Years","White","Female","Below Poverty","Not Married","Own","Not in Labor Force","Non-MSA",0,1,0
"6163",2,2,0,1,0,1,0,1,1,1,1,0,0,5,4,2,"65+ Years","College Graduate","Black","Male","<= $75,000, Above Poverty","Married","Own","Employed","MSA, Not Principle  City",1,0,0
